indicator,num_companies,coverage_percentage
extendedDecimalRevenueSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentEligible,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToClimateChangeMitigationInPercentEnablingShare,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentEnablingShare,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToClimateChangeAdaptationInPercentEligible,27,29.347826086956523
extendedDecimalRevenueSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentEligible,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToPollutionPreventionAndControlInPercentEligible,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentEnablingShare,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToClimateChangeMitigationInPercentTransitionalShare,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentEligible,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToClimateChangeAdaptationInPercentEligible,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToPollutionPreventionAndControlInPercentEnablingShare,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToClimateChangeAdaptationInPercentEnablingShare,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToClimateChangeMitigationInPercentEligible,27,29.347826086956523
extendedDecimalCapexSubstantialContributionToClimateChangeMitigationInPercentEnablingShare,27,29.347826086956523
extendedEnumYesNoOecdGuidelinesForMultinationalEnterprisesCompliancePolicy,25,27.173913043478258
extendedEnumYesNoFossilGasRelatedActivitiesSection431,20,21.73913043478261
extendedEnumYesNoNuclearEnergyRelatedActivitiesSection426,20,21.73913043478261
nuclear-and-gas,20,21.73913043478261
extendedEnumYesNoFossilGasRelatedActivitiesSection430,20,21.73913043478261
extendedEnumYesNoNuclearEnergyRelatedActivitiesSection428,20,21.73913043478261
extendedEnumYesNoNuclearEnergyRelatedActivitiesSection427,20,21.73913043478261
extendedEnumYesNoFossilGasRelatedActivitiesSection429,20,21.73913043478261
extendedDecimalRevenueSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalRevenueSubstantialContributionToPollutionPreventionAndControlInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalCapexSubstantialContributionToPollutionPreventionAndControlInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalRevenueSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalRevenueSubstantialContributionToClimateChangeMitigationInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalCapexSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalRevenueSubstantialContributionToClimateChangeAdaptationInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalCapexSubstantialContributionToClimateChangeAdaptationInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalRevenueSubstantialContributionToTransitionToACircularEconomyInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalCapexSubstantialContributionToClimateChangeMitigationInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalCapexSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalCapexSubstantialContributionToTransitionToACircularEconomyInPercentOfWhichUseOfProceeds,19,20.652173913043477
extendedDecimalFinancedScope3Emissions,13,14.130434782608695
extendedDecimalFinancedScope1AndScope2Emissions,12,13.043478260869565
extendedNuclearAndGasAlignedDenominatorComponentNuclearAndGasTaxonomyAlignedRevenueDenominator,6,6.521739130434782
extendedNuclearAndGasAlignedNumeratorComponentNuclearAndGasTaxonomyAlignedCapexNumerator,6,6.521739130434782
extendedNuclearAndGasAlignedDenominatorComponentNuclearAndGasTaxonomyAlignedCapexDenominator,6,6.521739130434782
extendedNuclearAndGasAlignedNumeratorComponentNuclearAndGasTaxonomyAlignedRevenueNumerator,6,6.521739130434782
extendedNuclearAndGasEligibleButNotAlignedComponentNuclearAndGasTaxonomyEligibleButNotAlignedRevenue,6,6.521739130434782
extendedNuclearAndGasNonEligibleComponentNuclearAndGasTaxonomyNonEligibleCapex,6,6.521739130434782
extendedNuclearAndGasNonEligibleComponentNuclearAndGasTaxonomyNonEligibleRevenue,6,6.521739130434782
extendedNuclearAndGasEligibleButNotAlignedComponentNuclearAndGasTaxonomyEligibleButNotAlignedCapex,6,6.521739130434782
eutaxonomy-financials,3,3.260869565217391
extendedEnumYesNoAreAllGroupEntitiesCoveredByEuTaxonomyReports,3,3.260869565217391
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToAnyOfTheSixEnvironmentalObjectivesInPercentAligned,2,2.1739130434782608
extendedCurrencyCreditInstitutionAssetsForCalculationOfGreenAssetRatioTotalAmountOfEnvironmentallySustainableAssetsWhichAreUseOfProceeds,2,2.1739130434782608
extendedCurrencyCreditInstitutionAssetsForCalculationOfGreenAssetRatioTotalAmountOfAssetsTowardsTaxonomyRelevantSectorsTaxonomyEligible,2,2.1739130434782608
extendedCurrencyCreditInstitutionAssetsForCalculationOfGreenAssetRatioTotalAmountOfAssetsWhichAreEnvironmentallySustainableTaxonomyAligned,2,2.1739130434782608
extendedCurrencyCreditInstitutionAssetsForCalculationOfGreenAssetRatioTotalAmountOfEnvironmentallySustainableAssetsWhichAreEnabling,2,2.1739130434782608
extendedCurrencyCreditInstitutionAssetsForCalculationOfGreenAssetRatioTotalAmountOfEnvironmentallySustainableAssetsWhichAreTransitional,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToAnyOfTheSixEnvironmentalObjectivesInPercentOfWhichEnabling,2,2.1739130434782608
extendedCurrencyCreditInstitutionAssetsForCalculationOfGreenAssetRatioTotalGrossCarryingAmount,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToAnyOfTheSixEnvironmentalObjectivesInPercentEligible,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToClimateChangeAdaptationInPercentOfWhichUseOfProceeds,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToAnyOfTheSixEnvironmentalObjectivesInPercentOfWhichTransitional,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToTransitionToACircularEconomyInPercentOfWhichEnabling,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToPollutionPreventionAndControlInPercentOfWhichEnabling,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToPollutionPreventionAndControlInPercentOfWhichUseOfProceeds,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentAligned,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentEligible,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentOfWhichEnabling,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToProtectionAndRestorationOfBiodiversityAndEcosystemsInPercentOfWhichUseOfProceeds,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentAligned,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentEligible,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentOfWhichEnabling,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToSustainableUseAndProtectionOfWaterAndMarineResourcesInPercentOfWhichUseOfProceeds,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToTransitionToACircularEconomyInPercentAligned,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToTransitionToACircularEconomyInPercentEligible,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToTransitionToACircularEconomyInPercentOfWhichUseOfProceeds,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToPollutionPreventionAndControlInPercentAligned,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToAnyOfTheSixEnvironmentalObjectivesInPercentOfWhichUseOfProceeds,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToClimateChangeAdaptationInPercentOfWhichEnabling,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToClimateChangeAdaptationInPercentOfWhichAdapting,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToClimateChangeAdaptationInPercentEligible,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToClimateChangeAdaptationInPercentAligned,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToAnyOfTheSixEnvironmentalObjectivesInPercentOfWhichUseOfProceeds,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToAnyOfTheSixEnvironmentalObjectivesInPercentOfWhichTransitional,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToAnyOfTheSixEnvironmentalObjectivesInPercentOfWhichEnabling,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToAnyOfTheSixEnvironmentalObjectivesInPercentEligible,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToAnyOfTheSixEnvironmentalObjectivesInPercentAligned,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToTransitionToACircularEconomyInPercentOfWhichEnabling,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToTransitionToACircularEconomyInPercentOfWhichUseOfProceeds,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToPollutionPreventionAndControlInPercentEligible,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToClimateChangeMitigationInPercentOfWhichUseOfProceeds,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToPollutionPreventionAndControlInPercentOfWhichEnabling,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToClimateChangeMitigationInPercentOfWhichTransitional,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToClimateChangeAdaptationInPercentEligible,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToClimateChangeAdaptationInPercentOfWhichAdapting,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToClimateChangeAdaptationInPercentOfWhichEnabling,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToClimateChangeAdaptationInPercentOfWhichUseOfProceeds,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToClimateChangeMitigationInPercentAligned,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToClimateChangeMitigationInPercentEligible,2,2.1739130434782608
extendedDecimalCreditInstitutionTurnoverBasedGreenAssetRatioStockSubstantialContributionToClimateChangeMitigationInPercentAligned,2,2.1739130434782608
extendedDecimalCreditInstitutionCapexBasedGreenAssetRatioStockSubstantialContributionToClimateChangeMitigationInPercentOfWhichEnabling,2,2.1739130434782608
